INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
Addison National Bank,Addison,Texas,TX,1992,8,3,19923,1993,4,2,19932,Formal Agreements,20065,,,"Addison, TX",0,8/27/1992 12:00:00 AM -04:00,680,4/15/1993 12:00:00 AM -04:00,93-106,
Admirals Bank,Boston,Massachusetts,MA,2017,3,1,20171,,,,,Cease & Desist Orders,713964,,,"Boston, MA",0,3/30/2017 12:00:00 AM -04:00,2017-027,,,OCC-AA-EC-2016-93
Advance Bank,Baltimore,Maryland,MD,2013,2,1,20131,2014,3,1,20141,Formal Agreements,706824,,,"Baltimore, MD",0,2/21/2013 12:00:00 AM -05:00,2013-032,3/31/2014 12:00:00 AM -04:00,,
Advanta National Bank,Wilmington,Delaware,DE,2001,2,1,20011,2007,5,2,20072,Formal Agreements,15033,,,"Wilmington, DE",0,2/28/2001 12:00:00 AM -05:00,2001-128,5/3/2007 12:00:00 AM -04:00,,
Advanta National Bank,Wilmington,Delaware,DE,2000,7,3,20003,2001,5,2,20012,Formal Agreements,15033,,,"Wilmington, DE",0,7/28/2000 12:00:00 AM -04:00,2000-76,5/11/2001 12:00:00 AM -04:00,2001-37,
Advanta National Bank,Wilmington,Delaware,DE,2000,5,2,20002,2007,5,2,20072,Cease & Desist Orders,15033,,,"Wilmington, DE",0,5/31/2000 12:00:00 AM -04:00,2000-48,5/3/2007 12:00:00 AM -04:00,,AA-EC-2000-31
Aig Federal Savings Bank,Wilmington,Delaware,DE,2007,6,2,20072,2012,4,2,20122,Formal Agreements,714939,,,"Wilmington, DE",0,6/7/2007 12:00:00 AM -04:00,SA,4/25/2012 12:00:00 AM -04:00,2012-173,
Aiken County National Bank,Aiken,South Carolina,SC,1992,4,2,19922,1995,8,3,19953,Formal Agreements,21561,,,"Aiken, SC",0,4/29/1992 12:00:00 AM -04:00,521,8/31/1995 12:00:00 AM -04:00,95-46,
"Alabama Trust Bank, National Association",Sylacauga,Alabama,AL,2012,4,2,20122,2012,5,2,20122,Prompt Corrective Action Directives,23896,,,"Sylacauga, AL",0,4/12/2012 12:00:00 AM -04:00,2012-103,5/18/2012 12:00:00 AM -04:00,,AA-EC-12-44
"Alabama Trust Bank, National Association",Sylacauga,Alabama,AL,2010,12,4,20104,2012,5,2,20122,Cease & Desist Orders,23896,,,"Sylacauga, AL",0,12/17/2010 12:00:00 AM -05:00,2010-240,5/18/2012 12:00:00 AM -04:00,,AA-EC-10-110
"Alabama Trust Bank, National Association",Sylacauga,Alabama,AL,2009,6,2,20092,2010,12,4,20104,Formal Agreements,23896,,,"Sylacauga, AL",0,6/5/2009 12:00:00 AM -04:00,2009-081,12/17/2010 12:00:00 AM -05:00,2010-240,
"Alaska First Bank & Trust, National Association",Anchorage,Alaska,AK,2006,2,1,20061,2007,10,4,20074,Formal Agreements,21990,,,"Anchorage, AK",0,2/2/2006 12:00:00 AM -05:00,2006-15,10/19/2007 12:00:00 AM -04:00,,
Alaska Pacific Bank,Juneau,Alaska,AK,2010,9,3,20103,2012,8,3,20123,Cease & Desist Orders,704202,,,"Juneau, AK",0,9/28/2010 12:00:00 AM -04:00,WN 10-31,8/8/2012 12:00:00 AM -04:00,2012-203,
"Albany Bank & Trust, National Association",Albany,Georgia,GA,2006,7,3,20063,2010,12,4,20104,Formal Agreements,23752,,,"Albany, GA",0,7/27/2006 12:00:00 AM -04:00,2006-88,12/20/2010 12:00:00 AM -05:00,2010-250,
Amarillo National Bank,Amarillo,Texas,TX,2013,3,1,20131,,,,,Bank Civil Money Penalties,14206,,,"Amarillo, TX",7250,3/15/2013 12:00:00 AM -04:00,2013-031,,,
"Amcore Bank, N.A., Rock River Valley",Dixon,Illinois,IL,1997,12,4,19974,,,,,Bank Civil Money Penalties,14366,,,"Dixon, IL",3000,12/31/1997 12:00:00 AM -05:00,97-80,,,
"Amcore Bank, N.A., Rockford",South Beloit,Illinois,IL,1997,12,4,19974,,,,,Bank Civil Money Penalties,13652,,,"South Beloit, IL",3000,12/31/1997 12:00:00 AM -05:00,97-79,,,
"Amcore Bank, National Association",Rockford,Illinois,IL,2009,6,2,20092,2010,4,2,20102,Cease & Desist Orders,13652,,,"Rockford, IL",0,6/25/2009 12:00:00 AM -04:00,2009-080,4/23/2010 12:00:00 AM -04:00,,AA-EC-09-46
"Amcore Bank, National Association",Rockford,Illinois,IL,2008,5,2,20082,2010,4,2,20102,Formal Agreements,13652,,,"Rockford, IL",0,5/15/2008 12:00:00 AM -04:00,2008-044,4/23/2010 12:00:00 AM -04:00,,
"Amcore Bank, National Association",Rockford,Illinois,IL,2006,8,3,20063,2008,4,2,20082,Cease & Desist Orders,13652,,,"Rockford, IL",0,8/10/2006 12:00:00 AM -04:00,2006-81,4/14/2008 12:00:00 AM -04:00,2008-051,
"Amcore Bank, National Association",Rockford,Illinois,IL,2005,5,2,20052,2008,4,2,20082,Formal Agreements,13652,,,"Rockford, IL",0,5/31/2005 12:00:00 AM -04:00,2005-58,4/14/2008 12:00:00 AM -04:00,2008-051,
"Amcore Bank, National Association",Rockford,Illinois,IL,2003,9,3,20033,,,,,Bank Civil Money Penalties,13652,,,"Rockford, IL",5000,9/16/2003 12:00:00 AM -04:00,2003-111,,,
American Bank,Rockville,Maryland,MD,2014,10,4,20144,2016,2,1,20161,Notices Filed,708149,,James Plack,"Rockville, MD",0,10/29/2014 12:00:00 AM -04:00,N14-001,2/29/2016 12:00:00 AM -05:00,2016-122,AA-EC-14-90
"American Bank and Trust Company, National Association",Davenport,Iowa,IA,2009,8,3,20093,2014,3,1,20141,Formal Agreements,24369,,,"Davenport, IA",0,8/17/2009 12:00:00 AM -04:00,2009-154,3/24/2014 12:00:00 AM -04:00,2014-054,
American Bank National Association,Rio Rancho,New Mexico,NM,1991,1,1,19911,1991,1,1,19911,Cease & Desist Orders,17893,,,"Rio Rancho, NM",0,1/2/1991 12:00:00 AM -05:00,146,1/22/1991 12:00:00 AM -05:00,,
"American Bank of Texas, National Association",Marble Falls,Texas,TX,2010,6,2,20102,,,,,Formal Agreements,17003,,,"Marble Falls, TX",0,6/2/2010 12:00:00 AM -04:00,2010-146,,,
"American Bank, N.A.",Lemars,Iowa,IA,1992,12,4,19924,1995,1,1,19951,Formal Agreements,22286,,,"Lemars, IA",0,12/2/1992 12:00:00 AM -05:00,786,1/18/1995 12:00:00 AM -05:00,95-124,
"American Bank, National Association",Lemars,Iowa,IA,2010,2,1,20101,2010,8,3,20103,Notices Filed,22286,,Richard E. Magnuson,"Lemars, IA",0,2/18/2010 12:00:00 AM -05:00,N10-001,8/30/2010 12:00:00 AM -04:00,2010-272,AA-EC-10-13
American Eagle Savings Bank,Boothwyn,Pennsylvania,PA,2011,7,3,20113,2012,1,1,20121,Prompt Corrective Action Directives,707212,,,"Boothwyn, PA",0,7/1/2011 12:00:00 AM -04:00,NE 11-22,1/20/2012 12:00:00 AM -05:00,,
American Eagle Savings Bank,Boothwyn,Pennsylvania,PA,2010,7,3,20103,2012,1,1,20121,Cease & Desist Orders,707212,,,"Boothwyn, PA",0,7/6/2010 12:00:00 AM -04:00,NE 10-16,1/20/2012 12:00:00 AM -05:00,,
"American Express Bank, FSB",Salt Lake City,Utah,UT,2013,12,4,20134,,,,,Bank Civil Money Penalties,715648,,,"Salt Lake City, UT",3000000,12/19/2013 12:00:00 AM -05:00,2013-190,,,AA-EC-2013-69
"American Express Bank, FSB",Salt Lake City,Utah,UT,2013,12,4,20134,,,,,Cease & Desist Orders,715648,,,"Salt Lake City, UT",0,12/19/2013 12:00:00 AM -05:00,2013-189,,,AA-EC-2013-68
"American Express Bank, FSB",Salt Lake City,Utah,UT,2012,10,4,20124,,,,,Bank Civil Money Penalties,715648,,,"Salt Lake City, UT",500000,10/1/2012 12:00:00 AM -04:00,2012-213,,,AA-EC-12-117
"American Express Bank, FSB",Salt Lake City,Utah,UT,2012,10,4,20124,2013,12,4,20134,Cease & Desist Orders,715648,,,"Salt Lake City, UT",0,10/1/2012 12:00:00 AM -04:00,2012-212,12/19/2013 12:00:00 AM -05:00,2013-189,AA-EC-12-116
"American Express Bank, FSB",Salt Lake City,Utah,UT,2010,8,3,20103,2013,12,4,20134,Formal Agreements,715648,,,"Salt Lake City, UT",0,8/6/2010 12:00:00 AM -04:00,SA,12/19/2013 12:00:00 AM -05:00,2013-189,
"American Independent Bank, N.A.",Gardena,California,CA,1998,7,3,19983,1998,10,4,19984,Formal Agreements,18092,,,"Gardena, CA",0,7/28/1998 12:00:00 AM -04:00,98-40,10/1/1998 12:00:00 AM -04:00,98-64,
"American Investment Bank, National Association",Salt Lake City,Utah,UT,2003,2,1,20031,2005,9,3,20053,Formal Agreements,18174,,,"Salt Lake City, UT",0,2/14/2003 12:00:00 AM -05:00,2003-22,9/6/2005 12:00:00 AM -04:00,2005-125,
American Investors Bank and Mortgage,Eden Prairie,Minnesota,MN,2017,4,2,20172,,,,,Formal Agreements,717958,,,"Eden Prairie, MN",0,4/17/2017 12:00:00 AM -04:00,2017-037,,,
American L & SA,Hannibal,Missouri,MO,2010,7,3,20103,2014,9,3,20143,Formal Agreements,706160,,,"Hannibal, MO",0,7/14/2010 12:00:00 AM -04:00,SA,9/14/2014 12:00:00 AM -04:00,2014-124,
American National Bank,Gonzales,Texas,TX,1993,1,1,19931,1994,12,4,19944,Prompt Corrective Action Directives,18303,,,"Gonzales, TX",0,1/27/1993 12:00:00 AM -05:00,Dec-93,12/22/1994 12:00:00 AM -05:00,94-270,
American National Bank,Hamden,Connecticut,CT,1992,6,2,19922,1993,3,1,19931,Cease & Desist Orders,15496,,,"Hamden, CT",0,6/12/1992 12:00:00 AM -04:00,618,3/5/1993 12:00:00 AM -05:00,,
American National Bank,Oakland Park,Florida,FL,2012,1,1,20121,2013,8,3,20133,Formal Agreements,18613,,,"Oakland Park, FL",0,1/5/2012 12:00:00 AM -05:00,2012-010,8/22/2013 12:00:00 AM -04:00,2013-215,
American National Bank,Wichita Falls,Texas,TX,2011,2,1,20111,2013,3,1,20131,Formal Agreements,16617,,,"Wichita Falls, TX",0,2/22/2011 12:00:00 AM -05:00,2011-034,3/20/2013 12:00:00 AM -04:00,2013-039,
American National Bank,Omaha,Nebraska,NE,2010,6,2,20102,,,,,Bank Civil Money Penalties,15435,,,"Omaha, NE",13450,6/22/2010 12:00:00 AM -04:00,2010-135,,,AA-WE-10-56
American National Bank,Parma,Ohio,OH,2009,9,3,20093,2010,3,1,20101,Cease & Desist Orders,15109,,,"Parma, OH",0,9/22/2009 12:00:00 AM -04:00,2009-167,3/19/2010 12:00:00 AM -04:00,,AA-CE-09-75
American National Bank,Ardmore,Oklahoma,OK,2005,7,3,20053,2006,5,2,20062,Formal Agreements,17764,,,"Ardmore, OK",0,7/7/2005 12:00:00 AM -04:00,2005-98,5/19/2006 12:00:00 AM -04:00,2006-56,
American National Bank & Trust Company,ST. PAUL,Minnesota,MN,1992,1,1,19921,,,,,Bank Civil Money Penalties,6828,,,"ST. PAUL, MN",50000,1/24/1992 12:00:00 AM -05:00,985,,,AA-SCP-92-04
American National Bank And Trust Company,ST. PAUL,Minnesota,MN,1992,1,1,19921,1996,6,2,19962,Securities Enforcement Actions,6828,,,"ST. PAUL, MN",0,1/24/1992 12:00:00 AM -05:00,985,6/11/1996 12:00:00 AM -04:00,,AA-SCP-92-04
American National Bank And Trust Company,ST. PAUL,Minnesota,MN,1991,9,3,19913,1993,8,3,19933,Formal Agreements,6828,,,"ST. PAUL, MN",0,9/17/1991 12:00:00 AM -04:00,384,8/20/1993 12:00:00 AM -04:00,93-237,
American National Bank Of Arizona,Scottsdale,Arkansas,AR,1990,8,3,19903,,,,,Bank Civil Money Penalties,20670,,,"Scottsdale, AR",2100,8/20/1990 12:00:00 AM -04:00,966,,,AA-EC-90-123
American National Bank of Arizona,Scottsdale,Arizona,AZ,1991,12,4,19914,1994,5,2,19942,Formal Agreements,20670,,,"Scottsdale, AZ",0,12/18/1991 12:00:00 AM -05:00,854,5/24/1994 12:00:00 AM -04:00,94-115,
"American National Bank of Dekalb, The",DeKalb,Illinois,IL,1991,3,1,19911,,,,,Bank Civil Money Penalties,16199,,,"DeKalb, IL",1800,3/12/1991 12:00:00 AM -05:00,1041,,,
American National Bank of Minnesota,Baxter,Minnesota,MN,2010,8,3,20103,2015,12,4,20154,Formal Agreements,24219,,,"Baxter, MN",0,8/20/2010 12:00:00 AM -04:00,2010-172,12/2/2015 12:00:00 AM -05:00,2015-134,
