"INSTITUTION","EACITY","EASTATE","EASTATECODE","EASTARTYEAR","EATERMINATIONYEAR","EATYPE","DSANCTION"
"Fidelity National Bank","Houston","Texas","TX",1992,1993,"Cease & Desist Orders",1
"Fidelity National Bank","Medford","Wisconsin","WI",1991,1994,"Formal Agreements",1
"Fidelity National Bank","Medford","Wisconsin","WI",2002,2004,"Formal Agreements",1
"Fidelity National Bank","Medford","Wisconsin","WI",2012,2016,"Formal Agreements",1
"Fieldpoint Private Bank & Trust","Greenwich","Connecticut","CT",2012,2015,"Formal Agreements",1
"First American Bank, National Association","Washington","District of Columbia","DC",1991,1993,"Cease & Desist Orders",1
"First American National Bank","Chandler","Arizona","AZ",1991,1993,"Cease & Desist Orders",1
"First American National Bank Of Nashville","Nashville","Tennessee","TN",1992,,"Securities Enforcement Actions",1
"First Bank National Association","Cleveland","Ohio","OH",1989,1990,"Cease & Desist Orders",1
"First Bank Richmond, National Association","Richmond","Indiana","IN",2009,2014,"Formal Agreements",1
"First Bank Southeast, National Association","Milwaukee","Wisconsin","WI",1991,1993,"Formal Agreements",1
"First Capital Bank","Bennettsville","South Carolina","SC",2012,2014,"Formal Agreements",1
"First Central Bank McCook, National Association","McCook","Nebraska","NE",2003,2006,"Formal Agreements",1
"First Central Bank, National Association","Cerritos","California","CA",1997,1998,"Cease & Desist Orders",1
"First Central Bank, National Association","Cerritos","California","CA",1999,1999,"Cease & Desist Orders",1
"First Charter Bank National Association","Beverly Hills","California","CA",1996,1998,"Prompt Corrective Action Directives",1
"First Charter Bank National Association","Los Angeles","California","CA",1994,1995,"Formal Agreements",1
"First Charter Bank, National Association","Beverly Hills","California","CA",1993,1994,"Prompt Corrective Action Directives",1
"First Charter Bank, National Association","Beverly Hills","California","CA",2001,2001,"Formal Agreements",1
"First Citizens Bank, National Association","Columbia Falls","Montana","MT",2005,2006,"Formal Agreements",1
"First City, Texas - Austin, National Association","Austin","Texas","TX",1991,1992,"Formal Agreements",1
"First City, Texas - San Antonio, National Association","San Antonio","Texas","TX",1991,1992,"Formal Agreements",1
"First Commercial Bank, National Association","Seguin","Texas","TX",1992,1993,"Cease & Desist Orders",1
"First Commercial Bank, National Association","Seguin","Texas","TX",1999,2004,"Formal Agreements",1
"First Community Bank, National Association","Lexington","South Carolina","SC",2010,2012,"Formal Agreements",1
"First Community Bank, National Association","Alice","Texas","TX",1991,1993,"Formal Agreements",1
"First Community Bank, National Association","Alice","Texas","TX",2001,2002,"Formal Agreements",1
"First Community Bank, National Association","San Benito","Texas","TX",2010,2012,"Formal Agreements",1
"First Community Bank, National Association","Sugar Land","Texas","TX",2009,2012,"Cease & Desist Orders",1
"First Community National Bank","Cuba","Missouri","MO",2016,,"Formal Agreements",1
"First Data Corporation","Paramus","New Jersey","NJ",1999,,"Formal Agreements",1
"First East Side Savings Bank","Tamarac","Florida","FL",2010,2012,"Cease & Desist Orders",1
"First Eastern Bank, National Association","Wilkes-Barre","Pennsylvania","PA",1992,1994,"Formal Agreements",1
"First Exchange Bank Of Little Rock, National Association","Little Rock","Arkansas","AR",1991,1992,"Cease & Desist Orders",1
"First Farmers and Merchants National Bank","Columbia","Tennessee","TN",2002,2004,"Formal Agreements",1
"First Federal Bank","Harrison","Arkansas","AR",2010,2013,"Cease & Desist Orders",1
"First Federal Bank Texas","Tyler","Texas","TX",2012,,"Formal Agreements",1
"First Federal Bank, A FSB","Tuscaloosa","Alabama","AL",2010,2014,"Formal Agreements",1
"First Federal Community Bank","Paris","Texas","TX",2011,2013,"Formal Agreements",1
"First Federal of South Carolina, FSB","Walterboro","South Carolina","SC",2012,2016,"Formal Agreements",1
"First Federal Savings Bank","Ottawa","Illinois","IL",2012,2014,"Formal Agreements",1
"First Fidelity Bank, National Association, New Jersey","Newark","New Jersey","NJ",1992,1994,"Securities Enforcement Actions",1
"First Florida Bank, National Association","Tampa","Florida","FL",1991,1993,"Formal Agreements",1
"First FS & LA of Central Illinois","Shelbyville","Illinois","IL",2013,2015,"Formal Agreements",1
"First FS & LA of Greensburg","Greensburg","Indiana","IN",2014,2017,"Formal Agreements",1
"First FS & LA of Hammond","Hammond","Indiana","IN",2011,2014,"Formal Agreements",1
"First FS & LA of McMinnville","McMinnville","Oregon","OR",2011,2013,"Formal Agreements",1
"First Heritage Bank, National Association","Newport Beach","California","CA",2008,2008,"Cease & Desist Orders",1
"First Illinois National Bank","Savanna","Illinois","IL",1999,2001,"Formal Agreements",1
"First Independence National Bank","Detroit","Michigan","MI",1991,1998,"Formal Agreements",1
"First Independence National Bank Of Detroit","Detroit","Michigan","MI",1992,1993,"Cease & Desist Orders",1
"First Integrity Bank, National Association","Staples","Minnesota","MN",2008,2008,"Cease & Desist Orders",1
"First Interstate Bank Of Arizona","Phoenix","Arizona","AZ",1992,,"Securities Enforcement Actions",1
"First Midwest Bank, National Association","Waukegan","Illinois","IL",1991,1994,"Formal Agreements",1
"First Missouri National Bank","Brookfield","Missouri","MO",2009,2011,"Formal Agreements",1
"First National Bank","San Diego","California","CA",1992,1994,"Formal Agreements",1
"First National Bank","San Diego","California","CA",2001,2002,"Formal Agreements",1
"First National Bank","Fort Collins","Colorado","CO",2006,2007,"Formal Agreements",1
"First National Bank","Fort Collins","Colorado","CO",2009,2010,"Formal Agreements",1
"First National Bank","Julesburg","Colorado","CO",2006,2007,"Formal Agreements",1
"First National Bank","Telluride","Colorado","CO",1999,2000,"Formal Agreements",1
"First National Bank","Tarpon Springs","Florida","FL",2002,2005,"Formal Agreements",1
"First National Bank","Savannah","Georgia","GA",2009,2010,"Cease & Desist Orders",1
"First National Bank","Rosedale","Mississippi","MS",2010,2010,"Cease & Desist Orders",1
"First National Bank","Ft. Pierre","South Dakota","SD",2002,2004,"Formal Agreements",1
"First National Bank","Bullard","Texas","TX",2001,2003,"Formal Agreements",1
"First National Bank","Fairfield","Texas","TX",1991,1994,"Cease & Desist Orders",1
"First National Bank","Fairfield","Texas","TX",2000,2002,"Formal Agreements",1
"First National Bank","George West","Texas","TX",2002,2002,"Formal Agreements",1
"First National Bank","Glen Rose","Texas","TX",2002,2002,"Formal Agreements",1
"First National Bank","Graford","Texas","TX",1989,1993,"Cease & Desist Orders",1
"First National Bank","Groesbeck","Texas","TX",2010,2014,"Formal Agreements",1
"First National Bank","Haskell","Texas","TX",2001,2005,"Formal Agreements",1
"First National Bank","Paducah","Texas","TX",1992,1993,"Cease & Desist Orders",1
"First National Bank","Paducah","Texas","TX",2012,,"Formal Agreements",1
"First National Bank","Rotan","Texas","TX",1999,2000,"Formal Agreements",1
"First National Bank","Sachse","Texas","TX",1992,1993,"Formal Agreements",1
"First National Bank","Ronceverte","West Virginia","WV",2012,2014,"Formal Agreements",1
"First National Bank & Trust Company in Larned","Larned","Kansas","KS",2004,2005,"Formal Agreements",1
"First National Bank & Trust Company in Larned","Larned","Kansas","KS",2008,2010,"Formal Agreements",1
"First National Bank & Trust of Syracuse, Nebraska","Syracuse","Nebraska","NE",2009,2010,"Formal Agreements",1
"First National Bank - Colorado","Fowler","Colorado","CO",2003,2004,"Formal Agreements",1
"First National Bank and Trust","Atmore","Alabama","AL",2011,2014,"Formal Agreements",1
"First National Bank And Trust","Fort Walton Beach","Florida","FL",1993,1993,"Formal Agreements",1
"First National Bank and Trust","Phillipsburg","Kansas","KS",2004,2006,"Formal Agreements",1
"First National Bank and Trust","Barron","Wisconsin","WI",2008,2011,"Formal Agreements",1
"First National Bank and Trust Co. of Bottineau","Bottineau","North Dakota","ND",2017,,"Formal Agreements",1
"First National Bank and Trust Company","Powell","Wyoming","WY",2008,2010,"Cease & Desist Orders",1
"First National Bank And Trust Company In Clinton","Clinton","Oklahoma","OK",1991,1992,"Formal Agreements",1
"First National Bank And Trust Company Of Holdenville","Holdenville","Oklahoma","OK",1991,1992,"Cease & Desist Orders",1
"First National Bank And Trust Company Of The Treasure Coast","Stuart","Florida","FL",1991,1992,"Formal Agreements",1
"First National Bank And Trust Of Syracuse","Syracuse","Nebraska","NE",1995,1997,"Formal Agreements",1
"First National Bank and Trust of Syracuse","Syracuse","Nebraska","NE",2001,2006,"Formal Agreements",1
"First National Bank at Darlington","Darlington","Wisconsin","WI",2002,2004,"Cease & Desist Orders",1
"First National Bank At Dillonvale","Dillonvale","Ohio","OH",1991,,"Formal Agreements",1
"First National Bank Bienville Parish","Arcadia","Louisiana","LA",1990,1994,"Formal Agreements",1
"First National Bank In Albuquerque","Albuquerque","New Mexico","NM",1991,1993,"Formal Agreements",1
"First National Bank in Brookings","Brookings","South Dakota","SD",2003,2004,"Cease & Desist Orders",1
"First National Bank in Burkburnett","Burkburnett","Texas","TX",1998,1998,"Cease & Desist Orders",1
"First National Bank In Cameron","Cameron","Texas","TX",1990,1993,"Formal Agreements",1
"First National Bank in Cannon Falls","Cannon Falls","Minnesota","MN",1993,1995,"Cease & Desist Orders",1
"First National Bank In Clayton","Clayton","New Mexico","NM",1992,1994,"Formal Agreements",1
"First National Bank In Durant","Durant","Oklahoma","OK",1991,1991,"Formal Agreements",1
"First National Bank In Garretson","Garretson","South Dakota","SD",1999,2001,"Cease & Desist Orders",1
"First National Bank in Georgetown","Georgetown","Illinois","IL",2002,2004,"Formal Agreements",1
"First National Bank In Glen Rose","Glen Rose","Texas","TX",1990,1993,"Cease & Desist Orders",1
"First National Bank in Homer","Homer","Illinois","IL",2003,2005,"Cease & Desist Orders",1
"First National Bank in Las Vegas","Las Vegas","New Mexico","NM",2004,2006,"Formal Agreements",1
"First National Bank in Mahnomen","Mahnomen","Minnesota","MN",2011,2012,"Formal Agreements",1
"First National Bank in Newton","Newton","Illinois","IL",2000,2001,"Cease & Desist Orders",1
"First National Bank In Osceola","Osceola","Arkansas","AR",1991,1994,"Formal Agreements",1
"First National Bank MidWest","Oskaloosa","Iowa","IA",2008,2012,"Formal Agreements",1
"First National Bank Minnesota","St. Peter","Minnesota","MN",2010,2012,"Formal Agreements",1
"First National Bank Northwest Florida","Panama City","Florida","FL",2011,2014,"Formal Agreements",1
"First National Bank Of America","East Lansing","Michigan","MI",2001,2003,"Formal Agreements",1
"First National Bank of Arizona","Scottsdale","Arizona","AZ",2008,2008,"Cease & Desist Orders",1
"First National Bank Of Bellaire","Bellaire","Texas","TX",1994,2001,"Cease & Desist Orders",1
"First National Bank Of Bonita Springs","Bonita Springs","Florida","FL",1990,1993,"Formal Agreements",1
"First National Bank Of Brooksville","Brooksville","Kentucky","KY",1992,1994,"Formal Agreements",1
"First National Bank Of Callaway County","Fulton","Missouri","MO",1991,1992,"Formal Agreements",1
"First National Bank of Catlin","Catlin","Illinois","IL",2005,2007,"Formal Agreements",1
"First National Bank Of Central Alabama","Aliceville","Alabama","AL",1999,2000,"Formal Agreements",1
"First National Bank of Central Alabama","Aliceville","Alabama","AL",2010,2013,"Formal Agreements",1
"First National Bank Of Central City","Central City","Kentucky","KY",2001,2004,"Formal Agreements",1
"First National Bank Of Chaves County","Roswell","New Mexico","NM",1993,1994,"Formal Agreements",1
"First National Bank of Cherokee","Woodstock","Georgia","GA",2002,2003,"Formal Agreements",1
"First National Bank of Chicago, The","Chicago","Illinois","IL",1995,1997,"Cease & Desist Orders",1
"First National Bank of Chillicothe","Chillicothe","Illinois","IL",2009,2012,"Formal Agreements",1
"First National Bank Of Christiansburg","Christiansburg","Virginia","VA",1991,1993,"Formal Agreements",1
"First National Bank of Clinton","Clinton","Kentucky","KY",2002,2003,"Formal Agreements",1
"First National Bank of Colorado City","Colorado City","Texas","TX",2006,2009,"Formal Agreements",1
"First National Bank Of Commerce","New Orleans","Louisiana","LA",1992,1996,"Securities Enforcement Actions",1
"First National Bank Of Council Bluffs","Council Bluffs","Iowa","IA",1991,1994,"Cease & Desist Orders",1
"First National Bank Of Crestview","Crestview","Florida","FL",1999,2000,"Formal Agreements",1
"First National Bank of Crossett","Crossett","Arkansas","AR",2009,2014,"Cease & Desist Orders",1
"First National Bank Of Dayton","Dayton","Texas","TX",1989,1993,"Cease & Desist Orders",1
"First National Bank of Decatur County","Bainbridge","Georgia","GA",2011,2013,"Formal Agreements",1
"First National Bank of Dublin","Dublin","Texas","TX",2002,2004,"Formal Agreements",1
"First National Bank of Eagle Lake, The","Eagle Lake","Texas","TX",1991,1992,"Formal Agreements",1
"First National Bank of Estes Park","Estes Park","Colorado","CO",1999,2000,"Formal Agreements",1
"First National Bank Of Everett","Everett","Pennsylvania","PA",1993,1994,"Formal Agreements",1
"First National Bank Of Fletcher","Fletcher","Oklahoma","OK",1992,1993,"Formal Agreements",1
"First National Bank Of Fletcher","Fletcher","Oklahoma","OK",1999,2002,"Formal Agreements",1
"First National Bank Of Fort Tockton","Fort Stockton","Texas","TX",1993,1993,"Formal Agreements",1
"First National Bank of Gaylord","Gaylord","Michigan","MI",2003,2004,"Formal Agreements",1
"First National Bank Of Georgetown","Georgetown","Illinois","IL",1991,1993,"Cease & Desist Orders",1
"First National Bank of Gillette","Gillette","Wyoming","WY",2001,2002,"Formal Agreements",1
"First National Bank of Glens Falls, The","Glens Falls","New York","NY",1993,1994,"Formal Agreements",1
"First National Bank Of Glenwood","Glenwood City","Wisconsin","WI",1992,1996,"Cease & Desist Orders",1
"First National Bank Of Gonzales","Gonzales","Louisiana","LA",1999,2000,"Formal Agreements",1
"First National Bank Of Hamliton","Hamilton","Texas","TX",1990,1991,"Cease & Desist Orders",1
"First National Bank of Henderson, The","Henderson","Kentucky","KY",1991,1992,"Formal Agreements",1
"First National Bank Of Hoffman Estates","Hoffman Estates","Illinois","IL",1993,1995,"Formal Agreements",1
"First National Bank Of Holcomb","Holcomb","Kansas","KS",1997,1999,"Formal Agreements",1
"First National Bank Of Hunstville","Huntsville","Texas","TX",1990,1992,"Cease & Desist Orders",1
"First National Bank of Illinois","Lansing","Illinois","IL",2011,,"Cease & Desist Orders",1
"First National Bank Of Ingleside","Ingleside","Texas","TX",1990,1991,"Cease & Desist Orders",1
"First National Bank Of Ipswich","Ipswich","Massachusetts","MA",1991,1994,"Formal Agreements",1
"First National Bank of Ipswich, The","Ipswich","Massachusetts","MA",1992,1994,"Formal Agreements",1
"First National Bank Of Jackson","Jackson","Tennessee","TN",1990,1990,"Cease & Desist Orders",1
"First National Bank of Jasper","Jasper","Texas","TX",2009,2012,"Cease & Desist Orders",1
"First National Bank of Kansas","Burlington","Kansas","KS",2010,2012,"Formal Agreements",1
"First National Bank Of Lake City","Lake City","Colorado","CO",1992,1993,"Formal Agreements",1
"First National Bank of Lewellen","Lewellen","Nebraska","NE",2007,2008,"Formal Agreements",1
"First National Bank of Limon","Limon","Colorado","CO",2002,2003,"Formal Agreements",1
"First National Bank Of Lisbon","Lisbon","New York","NY",1993,1995,"Formal Agreements",1
"First National Bank of Lisbon, The","Lisbon","New York","NY",1992,1995,"Formal Agreements",1
"First National Bank Of Louisville","Louisville","Kentucky","KY",1992,,"Securities Enforcement Actions",1
"First National Bank Of Lucedale","Lucedale","Mississippi","MS",2001,2003,"Cease & Desist Orders",1
"First National Bank Of Malden","Malden","Missouri","MO",1993,1996,"Formal Agreements",1
"First National Bank Of Manatee","Bradenton","Florida","FL",1992,1994,"Formal Agreements",1
"First National Bank Of Maryland","Baltimore","Maryland","MD",1992,1997,"Securities Enforcement Actions",1
"First National Bank of Mexia","Mexia","Texas","TX",2002,2004,"Formal Agreements",1
"First National Bank Of Miami","Miami","Florida","FL",1991,1991,"Formal Agreements",1
"First National Bank of Monahans","Monahans","Texas","TX",2007,2009,"Formal Agreements",1
"First National Bank Of Monticello","Monticello","Minnesota","MN",1992,1995,"Formal Agreements",1
"First National Bank of Mt. Hope, The","Mt. Hope","Kansas","KS",1992,1993,"Formal Agreements",1
"First National Bank Of Muscatine","Muscatine","Iowa","IA",1990,1993,"Formal Agreements",1
"First National Bank of Nevada","Reno","Nevada","NV",2008,2008,"Cease & Desist Orders",1
"First National Bank Of Newton","Newton","Texas","TX",1997,1999,"Cease & Desist Orders",1
"First National Bank of Newton","Newton","Texas","TX",2002,2004,"Formal Agreements",1
"First National Bank Of Newton County","Covington","Georgia","GA",1993,1995,"Formal Agreements",1
"First National Bank Of North County","Carlsbad","California","CA",1992,1995,"Formal Agreements",1
"First National Bank Of Northwest Florida","Panama City","Florida","FL",1991,1993,"Formal Agreements",1
"First National Bank of Omaha","Omaha","Nebraska","NE",2016,,"Cease & Desist Orders",1
"First National Bank of Osceola County","Kissimmee","Florida","FL",2003,2003,"Formal Agreements",1
"First National Bank Of Pasco","Dade City","Florida","FL",1992,1994,"Cease & Desist Orders",1
"First National Bank of Pasco","Dade City","Florida","FL",2011,2014,"Formal Agreements",1
"First National Bank Of Pennsylvania","Hermitage Square","Pennsylvania","PA",1993,1995,"Formal Agreements",1
"First National Bank Of Pipestone","Pipestone","Minnesota","MN",1999,2001,"Cease & Desist Orders",1
"First National Bank of Polk County, The","Copperhill","Tennessee","TN",1993,1994,"Formal Agreements",1
"First National Bank Of Quitman","Quitman","Texas","TX",1991,1992,"Formal Agreements",1
"First National Bank Of Red Oak","Red Oak","Texas","TX",1992,1994,"Formal Agreements",1
"First National Bank Of Rochester","Rochester","New York","NY",1992,1994,"Cease & Desist Orders",1
"First National Bank Of Santa Rosa","Milton","Florida","FL",1994,1996,"Formal Agreements",1
"First National Bank of Scottsdale","Scottsdale","Arizona","AZ",2010,2011,"Formal Agreements",1
"First National Bank Of Shawnee Mission","Fairway","Kansas","KS",1992,1995,"Cease & Desist Orders",1
"First National Bank Of Shelbyville","Shelbyville","Tennessee","TN",1991,1994,"Formal Agreements",1
"First National Bank of South Carolina","Holly Hill","South Carolina","SC",1992,1995,"Formal Agreements",1
"First National Bank of Southern California","Riverside","California","CA",2010,2014,"Formal Agreements",1
"First National Bank Of St. Bernard Parish","Chalmette","Louisiana","LA",1991,1992,"Cease & Desist Orders",1
"First National Bank of St. Croix Falls, The","St. Croix Falls","Wisconsin","WI",1991,1995,"Formal Agreements",1
"First National Bank of Steeleville","Steeleville","Illinois","IL",2002,2004,"Formal Agreements",1
"First National Bank of Sulphur Springs","Sulphur Springs","Texas","TX",1997,1998,"Formal Agreements",1
"First National Bank of The Lakes","Navarre","Minnesota","MN",2010,2011,"Formal Agreements",1
"First National Bank of The Mid-Cities","Bedford","Texas","TX",2006,2008,"Formal Agreements",1
"First National Bank Of The North","Sandstone","Minnesota","MN",2001,2002,"Cease & Desist Orders",1
"First National Bank of The North","Sandstone","Minnesota","MN",2010,,"Formal Agreements",1
"First National Bank of The South","Spartanburg","South Carolina","SC",2009,2010,"Cease & Desist Orders",1
"First National Bank Of Trinity","Trinity","Texas","TX",1992,1993,"Formal Agreements",1
"First National Bank of Tullahoma","Tullahoma","Tennessee","TN",2005,2006,"Formal Agreements",1
"First National Bank Of Union County","Blairsville","Georgia","GA",1992,1994,"Formal Agreements",1
"First National Bank of Union Springs, The","Union Springs","Alabama","AL",1992,1994,"Formal Agreements",1
"First National Bank Of Ventura","Ventura","California","CA",1993,1995,"Formal Agreements",1
"First National Bank Of Vermont","Bradford","Vermont","VT",1991,1991,"Cease & Desist Orders",1
"First National Bank Of Vermont","Springfield","Vermont","VT",1991,1993,"Cease & Desist Orders",1
"First National Bank of Wahoo","Wahoo","Nebraska","NE",2011,2013,"Formal Agreements",1
"First National Bank of Wauchula","Wauchula","Florida","FL",2012,2015,"Formal Agreements",1
"First National Bank Of West Des Moines","West Des Moines","Iowa","IA",1992,1993,"Formal Agreements",1
"First National Bank of West Union, The","West Union","Iowa","IA",2004,2004,"Formal Agreements",1
"First National Bank Of Wiggins","Wiggins","Mississippi","MS",1992,1993,"Formal Agreements",1
"First National Bank of Winnsboro","Winnsboro","Texas","TX",2010,2013,"Formal Agreements",1
"First National Bank South","Alma","Georgia","GA",2010,2013,"Formal Agreements",1
"First National Bank South Dakota","Yankton","South Dakota","SD",2010,2012,"Formal Agreements",1
"First National Bank, Graford","Graford","Texas","TX",2004,2007,"Formal Agreements",1
"First National Bank, Torrington","Torrington","Wyoming","WY",2005,2005,"Formal Agreements",1
"First National Bankers Bank, Alabama","Homewood","Alabama","AL",2010,,"Formal Agreements",1
"First National Banking Company","Ash Flat","Arkansas","AR",2009,2013,"Formal Agreements",1
"First National Community Bank","New Richmond","Wisconsin","WI",2009,2010,"Formal Agreements",1
"First NB of Evant","Evant","Texas","TX",2003,2006,"Formal Agreements",1
"First NB of Gilmer","Gilmer","Texas","TX",2003,2006,"Formal Agreements",1
"First Nh Bank, National Association","Manchester","New Hampshire","NH",1991,1992,"Formal Agreements",1
"First Niagara Bank, National Association","Buffalo","New York","NY",2016,,"Cease & Desist Orders",1
"First Pacific National Bank","Escondido","California","CA",1992,1994,"Formal Agreements",1
"First Philson Bank, National Association","Berlin","Pennsylvania","PA",1992,1994,"Formal Agreements",1
"First Premier Bank National Association","Sioux Falls","South Dakota","SD",1993,1996,"Formal Agreements",1
"First Professional Bank, National Association","Santa Monica","California","CA",2000,2001,"Formal Agreements",1
"First Scottsdale Bank, National Association","Scottsdale","Arizona","AZ",2014,,"Formal Agreements",1
"First Security National Bank","Norcross","Georgia","GA",2008,2009,"Cease & Desist Orders",1
"First Security National Bank","Lincoln","Nebraska","NE",1994,1998,"Formal Agreements",1
"First Security National Bank And Trust Company Of Lexington","Lexington","Kentucky","KY",1991,1992,"Cease & Desist Orders",1
"First Texoma National Bank","Durant","Oklahoma","OK",2010,2014,"Cease & Desist Orders",1
"First Trade Union Bank","Boston","Massachusetts","MA",2010,2012,"Formal Agreements",1
"First United Bank, National Association","Englewood","Colorado","CO",2006,2007,"Cease & Desist Orders",1
"First United National Bank","Fryburg","Pennsylvania","PA",1993,1994,"Formal Agreements",1
"First Wisconsin National Bank Of Milwaukee","Milwaukee","Wisconsin","WI",1992,,"Securities Enforcement Actions",1
"First-Nichols National Bank","Kenedy","Texas","TX",1991,1993,"Formal Agreements",1
"Firstier Bank, National Association","Lincoln","Nebraska","NE",1992,1996,"Securities Enforcement Actions",1
"Firstmerit Bank, National Association","Akron","Ohio","OH",2006,2008,"Cease & Desist Orders",1
"Flagship National Bank","Bradenton","Florida","FL",2008,2009,"Formal Agreements",1
"Flatbush FS & LA","Brooklyn","New York","NY",2012,,"Formal Agreements",1
"Fleet National Bank","Boston","Massachusetts","MA",2001,,"Securities Enforcement Actions",1
"Flemington National Bank and Trust Company, The","Flemington","New Jersey","NJ",1991,1994,"Formal Agreements",1
"FNB Bank, National Association","Danville","Pennsylvania","PA",2014,,"Cease & Desist Orders",1
"Forrest City Bank, National Association","Forrest City","Arkansas","AR",2003,2007,"Formal Agreements",1
"Fort Knox National Bank","Fort Knox","Kentucky","KY",1991,1992,"Formal Agreements",1
"Fort Lee Federal Savings Bank, FSB","Fort Lee","New Jersey","NJ",2012,2012,"Prompt Corrective Action Directives",1
"Founders National Bank Of Los Angeles","Los Angeles","California","CA",1993,1994,"Cease & Desist Orders",1
"Founders National Bank of Los Angeles","Los Angeles","California","CA",2000,2001,"Cease & Desist Orders",1
"Foxboro National Bank","Foxboro","Massachusetts","MA",1991,1993,"Formal Agreements",1
"Franklin Community Bank, National Association","Rocky Mount","Virginia","VA",2009,2013,"Formal Agreements",1
"Franklin National Bank","Mt. Vernon","Texas","TX",2003,2004,"Formal Agreements",1
"Franklin National Bank of Virginia","Alexandria","Virginia","VA",1991,1995,"Formal Agreements",1
"Freedom Bank, National Association","Dublin","Texas","TX",1991,1993,"Cease & Desist Orders",1
"Freedom Bank, National Association","Glen Rose","Texas","TX",1991,1993,"Cease & Desist Orders",1
"Freedom Bank, National Association","Hamilton","Texas","TX",1991,1993,"Cease & Desist Orders",1
"Freedom National Bank","Greenville","Rhode Island","RI",2010,2015,"Formal Agreements",1
"Fremont First National Bank","Seattle","Washington","WA",1999,1999,"Safety and Soundness Orders",1
"Frontier Bank, FSB","Palm Desert","California","CA",2011,2014,"Cease & Desist Orders",1
"Frontier Bank, National Association","La Palma","California","CA",1993,1996,"Cease & Desist Orders",1
"Frost National Bank of San Antonio, The","San Antonio","Texas","TX",1991,1993,"Formal Agreements",1
"FSGBank, National Association","Chattanooga","Tennessee","TN",2010,2014,"Cease & Desist Orders",1
"Fullerton National Bank","Fullerton","Nebraska","NE",2004,2005,"Cease & Desist Orders",1
"Fulton Bank, National Association","Lancaster","Pennsylvania","PA",2014,,"Cease & Desist Orders",1
"Gateway National Bank","Phoenix","Arizona","AZ",1989,1990,"Cease & Desist Orders",1
"Gateway National Bank","Dallas","Texas","TX",1989,1994,"Formal Agreements",1
"Gateway National Bank Of  St. Louis","St. Louis","Missouri","MO",1993,1996,"Formal Agreements",1
"Gcf Bank","Washington Township","New Jersey","NJ",2012,2014,"Formal Agreements",1
"Gibraltar Bank","Oak Ridge","New Jersey","NJ",2016,,"Formal Agreements",1
"Gladewater National Bank","Gladewater","Texas","TX",1991,1993,"Cease & Desist Orders",1
"Gladewater National Bank","Gladewater","Texas","TX",2003,2006,"Formal Agreements",1
"Gladewater National Bank","Gladewater","Texas","TX",2009,2011,"Formal Agreements",1
"Glendale National Bank Of New Jersey","Voorhees Township","New Jersey","NJ",1993,1994,"Formal Agreements",1
"Global Payments Inc","Atlanta","Georgia","GA",1999,1999,"Formal Agreements",1
"Gold Country Bank, National Association","Marysville","California","CA",2004,2010,"Formal Agreements",1
"Gold Country National Bank","Brownsville","California","CA",1998,1998,"Formal Agreements",1
"Golden Bank, National Association","Houston","Texas","TX",2010,2013,"Formal Agreements",1
"Golden Pacific Bank, National Association","Sacramento","California","CA",2016,2016,"Notices Filed",1
"Goldwater Bank, National Association","Scottsdale","Arizona","AZ",2010,2015,"Cease & Desist Orders",1
"Granite Community Bank, National Association","Granite Bay","California","CA",2008,2010,"Formal Agreements",1
"Grayson National Bank","Independence","Virginia","VA",2011,2015,"Formal Agreements",1
"Great Lakes Bank, National Association","Blue Island","Illinois","IL",2011,2012,"Formal Agreements",1
"Greeneville Federal Bank, FSB","Greeneville","Tennessee","TN",2011,2015,"Cease & Desist Orders",1
"Greensboro National Bank","Greensboro","North Carolina","NC",1992,1995,"Formal Agreements",1
"Guaranty National Bank Of Tallahassee","Tallahassee","Florida","FL",1996,1999,"Formal Agreements",1
"Hamilton Bank, National Association","Miami","Florida","FL",2000,2002,"Cease & Desist Orders",1
"Hamilton National Bank","Hamilton","Texas","TX",1991,1993,"Cease & Desist Orders",1
"Harbor Capital National Bank","Rockville","Maryland","MD",2002,2003,"Formal Agreements",1
"Harbor National Bank Of Connecticut","Branford","Connecticut","CT",1990,1990,"Cease & Desist Orders",1
"Heartland National Bank","Sebring","Florida","FL",2011,2014,"Formal Agreements",1
"Heartland National Bank","Herrin","Illinois","IL",1998,1999,"Formal Agreements",1
"Helena National Bank","Helena","Arkansas","AR",1992,1994,"Formal Agreements",1
"Hemisphere National Bank","Miami","Florida","FL",1992,1994,"Formal Agreements",1
"Henderson National Bank","Henderson","Kentucky","KY",2002,2004,"Formal Agreements",1
"Herald National Bank","New York","New York","NY",2010,2013,"Formal Agreements",1
"Heritage Bank, National Association","Phoenix","Arizona","AZ",2008,2012,"Formal Agreements",1
"Heritage Bank, National Association","Holstein","Iowa","IA",2009,,"Formal Agreements",1
"Heritage Bank, National Association","Spicer","Minnesota","MN",2008,2011,"Formal Agreements",1
"Hiawatha National Bank","Hager City","Wisconsin","WI",1991,1995,"Formal Agreements",1
"Hibernia National Bank","New Orleans","Louisiana","LA",1991,1993,"Cease & Desist Orders",1
"High Desert National Bank","Hesperia","California","CA",1994,1997,"Formal Agreements",1
"Highlands Community Bank, National Association","Clinton Township","New Jersey","NJ",1992,1992,"Cease & Desist Orders",1
"Hilton Head Bank And Trust Company, National Association","Hilton Head Island","South Carolina","SC",1991,1991,"Cease & Desist Orders",1
